title_y,cluster_id
Scooby-Doo,2
Dredd,1
Click,1
Creepshow,3
Cats & Dogs 2 : The Revenge of Kitty Galore,2
Jumper,1
Hellboy II: The Golden Army,1
Zodiac,1
The 6th Day,1
Bruce Almighty,2
The Expendables,1
Mission: Impossible,2
The Hunger Games,2
The Hangover Part II,2
Batman Returns,1
Over the Hedge,2
Lilo & Stitch,2
Charlotte's Web,2
Deep Impact,1
RED 2,1
The Longest Yard,1
Alvin and the Chipmunks: Chipwrecked,2
Grown Ups 2,1
Get Smart,1
Something's Gotta Give,1
Shutter Island,2
Four Christmases,1
Robots,2
Face/Off,1
Bedtime Stories,1
Road to Perdition,1
Just Go with It,1
Con Air,1
Eagle Eye,1
Cold Mountain,1
The Book of Eli,1
Flubber,1
The Haunting,1
Space Jam,2
The Pink Panther,1
The Day the Earth Stood Still,1
Conspiracy Theory,1
Fury,2
Six Days Seven Nights,1
Yogi Bear,2
Spirit: Stallion of the Cimarron,2
Zookeeper,2
Lost in Space,2
The Manchurian Candidate,1
Déjà Vu,4
Hotel Transylvania 2,2
Fantasia 2000,2
The Time Machine,1
Mighty Joe Young,1
Swordfish,1
The Legend of Zorro,1
What Dreams May Come,1
Little Nicky,1
The Brothers Grimm,1
Mars Attacks!,1
Evolution,4
The Edge,1
Surrogates,1
Thirteen Days,1
Daylight,1
Walking With Dinosaurs,2
Battlefield Earth,0
Looney Tunes: Back in Action,2
Nine,1
Timeline,1
The Postman,1
Babe: Pig in the City,2
The Last Witch Hunter,1
Red Planet,2
Arthur and the Invisibles,2
Oceans,2
A Sound of Thunder,1
Pompeii,1
Top Cat Begins,2
A Beautiful Mind,1
The Lion King,2
Journey 2: The Mysterious Island,1
Cloudy with a Chance of Meatballs 2,2
Red Dragon,1
Hidalgo,1
Jack and Jill,1
2 Fast 2 Furious,1
The Little Prince,2
The Invasion,1
The Adventures of Rocky & Bullwinkle,1
The Secret Life of Pets,2
The League of Extraordinary Gentlemen,1
Despicable Me 2,2
Independence Day,2
The Lost World: Jurassic Park,1
Madagascar,2
Children of Men,1
X-Men,2
Wanted,1
The Rock,1
Ice Age: The Meltdown,2
50 First Dates,1
Hairspray,1
Exorcist: The Beginning,1
Inspector Gadget,1
Now You See Me,2
Grown Ups,1
The Terminal,1
Hotel for Dogs,1
Vertical Limit,1
Charlie Wilson's War,1
Shark Tale,2
Dreamgirls,1
Be Cool,1
Munich,1
Tears of the Sun,1
Killers,1
The Man from U.N.C.L.E.,1
Spanglish,1
Monster House,2
Bandits,1
First Knight,1
Anna and the King,1
Immortals,1
Hostage,1
Titan A.E.,1
Hollywood Homicide,1
Soldier,1
Carriers,0
Monkeybone,2
Flight of the Phoenix,0
Unbreakable,1
Minions,2
Sucker Punch,1
Snake Eyes,1
Sphere,1
The Angry Birds Movie,2
Fool's Gold,1
Funny People,1
The Kingdom,1
